iter: 0, x: 0.03161882449568497, y: 0.0, dldx: -2, dldy: 0, loss: 0.9378620510898636
iter: 1, x: 0.05354164324063839, y: 0.03123456189992226, dldx: -1.924117982302475, dldy: -0.19995001249778557, loss: 0.9762569370595852
iter: 2, x: 0.07470812559744779, y: -0.00036810477887284573, dldx: -2.5004613281274866, dldy: 5.673570867802892, loss: 0.8597045993532358
iter: 3, x: 0.08763191510959714, y: 0.006118804840975978, dldx: -1.6727960765870826, dldy: -1.1898817618313757, loss: 0.832659053240477
iter: 4, x: 0.10018365350375887, y: 0.007817891256999741, dldx: -1.7700346561842135, dldy: -0.3121095409599322, loss: 0.8101617972373459
iter: 5, x: 0.1115099777264518, y: 0.010226739231440126, dldx: -1.710714764565023, dldy: -0.4437746344722951, loss: 0.7899019294605568
iter: 6, x: 0.12199452394363741, y: 0.012616653765882998, dldx: -1.678506212083468, dldy: -0.44154718022272993, loss: 0.7714070961651687
iter: 7, x: 0.13176921561161575, y: 0.015062316405086837, dldx: -1.6454346224423853, dldy: -0.45320202127034465, loss: 0.7543540675230374
iter: 8, x: 0.14095093885148935, y: 0.01753792896026439, dldx: -1.6151912088991527, dldy: -0.4601619555627285, loss: 0.7385078245207001
iter: 9, x: 0.14962518314444, y: 0.020036308295839727, dldx: -1.5867747976967288, dldy: -0.46584764057037986, loss: 0.7236902312880704
iter: 10, x: 0.1578590483680209, y: 0.022550473628326666, dldx: -1.5600189414139538, dldy: -0.4702774270334976, loss: 0.7097626011325724
iter: 11, x: 0.16570594624349078, y: 0.02507540243723161, dldx: -1.5346943202673433, dldy: -0.4738011046660988, loss: 0.6966144647639299
iter: 12, x: 0.17320928099594773, y: 0.027607168202564408, dldx: -1.5106333430315761, dldy: -0.4766116366438089, loss: 0.6841561539691525
iter: 13, x: 0.18040488154682804, y: 0.030142686268583692, dldx: -1.4876963585325882, dldy: -0.47885736411375435, loss: 0.6723137120471266
iter: 14, x: 0.18732273478987815, y: 0.03267949082424989, dldx: -1.4657681054532805, dldy: -0.4806470034682736, loss: 0.6610252997812436
iter: 15, x: 0.19398823835712825, y: 0.03521558742138509, dldx: -1.4447517256312135, dldy: -0.4820632289818272, loss: 0.6502385926421261
iter: 16, x: 0.20042312832916007, y: 0.0377493458702349, dldx: -1.4245649911454374, dldy: -0.4831698399033829, loss: 0.6399088546091627
iter: 17, x: 0.20664617895270362, y: 0.04027942206343717, dldx: -1.4051373808965175, dldy: -0.48401689980241275, loss: 0.6299974854747271
iter: 18, x: 0.2126737393562296, y: 0.042804699601437034, dldx: -1.3864078803817266, dldy: -0.4846442424631281, loss: 0.6204709068249338
iter: 19, x: 0.21852015136793612, y: 0.04532424551403004, dldx: -1.3683232810593895, dldy: -0.4850839620648903, loss: 0.6112996950003002
iter: 20, x: 0.22419807911469264, y: 0.0478372761673003, dldx: -1.3508368509576194, dldy: -0.4853622079671355, loss: 0.6024578972936265
iter: 21, x: 0.22971877214358558, y: 0.05034313066579546, dldx: -1.3339072817282398, dldy: -0.4855005022835368, loss: 0.5939224862060293
iter: 22, x: 0.23509227774832117, y: 0.05284124985429164, dldx: -1.317497845305496, dldy: -0.4855167218722256, loss: 0.5856729191768638
iter: 23, x: 0.24032761399099134, y: 0.05533115956164347, dldx: -1.3015757114516753, dldy: -0.4854258405204301, loss: 0.5776907799144226
iter: 24, x: 0.24543291195963274, y: 0.057812457098890824, dldx: -1.2861113903102885, dldy: -0.48524049699189276, loss: 0.5699594835851948
iter: 25, x: 0.25041553369252356, y: 0.060284800282550975, dldx: -1.2710782731510946, dldy: -0.4849714348188025, loss: 0.5624640325032109
iter: 26, x: 0.2552821706698007, y: 0.06274789843795582, dldx: -1.2564522510218874, dldy: -0.48462784639208695, loss: 0.5551908121410888
